pp_mode,init_eq,tau_p_a,tau_p_b,kappa,GAB,GBA,sigmaA,k1_huang,k2_huang,kd_huang,alpha_meq,cs_a,cs_b,cs_R,cs_G,huang_W,huang_init_mode,Gx,Gy,drive_mode,ENABLE_CKPT,OUTPUT_EVERY,case_name,cs_T,huang_yc,huang_rho_g,huang_rho_l
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.60,0.6,64.0,0.0030805179305305745,0.4062153507690336
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.65,0.65,64.0,0.005585326103382763,0.3823476500401242
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.70,0.7,64.0,0.009291723045748643,0.3581443948747237
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.75,0.75,64.0,0.014522476845428447,0.3332565382689754
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.80,0.8,64.0,0.021717980359217546,0.30721253576202623
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.85,0.85,64.0,0.03157407650340464,0.2792816066098297
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.90,0.9,64.0,0.045409459970752464,0.2481079779474363
1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.08333333333333333,1.0,1.0,4.0,1.0,-1.0,5.0,2,0.0,0.0,1,False,5000,coex_Tr0.95,0.95,64.0,0.06659105521152069,0.21028694766209452
