exp_id,exp_id_str,case_name,geom_file,Gx,tau_huang,thetaA_quartz_deg,thetaA_hydrate_deg,OUTPUT_EVERY,file_dir,hs_case_tag,hs_mode,hs_target_Sh
1,EXP0001,bg00_gs001000_dp_Sh0.05_dr3_hs0002020_Gx1e-07_qz30_hy60,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_growth_massive/bg00_gs001000_dp_Sh0.05_dr3_hs0002020/geometry_case.plt,1e-07,1.5,30,60,50000,results/hydrate_batch/bg00_gs001000_dp_Sh0.05_dr3_hs0002020_Gx1e-07_qz30_hy60,bg00_gs001000_dp_Sh0.05_dr3_hs0002020,dp,0.05
2,EXP0002,bg00_gs001000_dp_Sh0.05_dr3_hs0002021_Gx1e-07_qz30_hy60,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_growth_massive/bg00_gs001000_dp_Sh0.05_dr3_hs0002021/geometry_case.plt,1e-07,1.5,30,60,50000,results/hydrate_batch/bg00_gs001000_dp_Sh0.05_dr3_hs0002021_Gx1e-07_qz30_hy60,bg00_gs001000_dp_Sh0.05_dr3_hs0002021,dp,0.05
