case_name,geom_file,Gx,tau_huang,thetaA_quartz_deg,thetaA_hydrate_deg,OUTPUT_EVERY,file_dir,hs_case_tag,hs_mode,hs_target_Sh
cgan_00007_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00007/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00007_Gx5e-05,cgan_00007,cgan,-1.0
cgan_00008_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00008/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00008_Gx1e-05,cgan_00008,cgan,-1.0
cgan_00008_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00008/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00008_Gx5e-05,cgan_00008,cgan,-1.0
cgan_00009_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00009/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00009_Gx1e-05,cgan_00009,cgan,-1.0
cgan_00009_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00009/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00009_Gx5e-05,cgan_00009,cgan,-1.0
cgan_00010_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00010/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00010_Gx1e-05,cgan_00010,cgan,-1.0
cgan_00010_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00010/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00010_Gx5e-05,cgan_00010,cgan,-1.0
cgan_00011_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00011/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00011_Gx1e-05,cgan_00011,cgan,-1.0
cgan_00011_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00011/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00011_Gx5e-05,cgan_00011,cgan,-1.0
cgan_00012_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00012/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00012_Gx1e-05,cgan_00012,cgan,-1.0
cgan_00012_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00012/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00012_Gx5e-05,cgan_00012,cgan,-1.0
cgan_00013_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00013/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00013_Gx1e-05,cgan_00013,cgan,-1.0
cgan_00013_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00013/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00013_Gx5e-05,cgan_00013,cgan,-1.0
cgan_00014_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00014/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00014_Gx1e-05,cgan_00014,cgan,-1.0
cgan_00014_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00014/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00014_Gx5e-05,cgan_00014,cgan,-1.0
cgan_00015_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00015/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00015_Gx1e-05,cgan_00015,cgan,-1.0
cgan_00015_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00015/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00015_Gx5e-05,cgan_00015,cgan,-1.0
cgan_00016_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00016/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00016_Gx1e-05,cgan_00016,cgan,-1.0
cgan_00016_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00016/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00016_Gx5e-05,cgan_00016,cgan,-1.0
cgan_00017_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00017/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00017_Gx1e-05,cgan_00017,cgan,-1.0
cgan_00017_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00017/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00017_Gx5e-05,cgan_00017,cgan,-1.0
cgan_00018_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00018/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00018_Gx1e-05,cgan_00018,cgan,-1.0
cgan_00018_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00018/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00018_Gx5e-05,cgan_00018,cgan,-1.0
cgan_00019_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00019/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00019_Gx1e-05,cgan_00019,cgan,-1.0
cgan_00019_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00019/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00019_Gx5e-05,cgan_00019,cgan,-1.0
cgan_00020_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00020/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00020_Gx1e-05,cgan_00020,cgan,-1.0
